Název;E-mail;Telefon;Kategorie
"Winter & Summer resort, s.r.o.";info@wintersummer.sk;"0911 888 9000907 363 316 | 0911 888 900";Ubytovanie
"ADA GROUP s.r.o.";adaresorts@adaresorts.sk;"031 2211 131";Ubytovanie
"Ecobilanz s.r.o.";pizur.jan@gmail.com;"0902 960 206";Ubytovanie
"ZOO AGRO 5, spol. s r.o.";info@chatateodora.sk;"0902 048 915";Ubytovanie
"Adamas Alliance, s.r.o.";info@adamasalliance.sk;"0907 956 210";Ubytovanie
"Dobrocká Marie";chatkamajka@azet.sk;"0907 509 150";Ubytovanie
"ŠD-Stavby, s.r.o.";info@sd-stavby.sk;"0905 167 2280903 711 356 | 0905 167 228";Ubytovanie
"BB Studio - Ing. Jaroslav Kapsiar";info@chatachabadova.eu;"0915 839 909";Ubytovanie
"Drotov - Juraj Zubáň";drotov@drotov.sk;"043 4944 380 | +421 905 254 427 | +421 43 4901 027";Ubytovanie
"Trubárka s. r. o.";info@trubarka.sk;"0905 753 642";Ubytovanie
"Home Resort s.r.o.";info@chatyrozpravkovo.sk;"0910 282 222";Ubytovanie
"Kallys s. r. o.";info@kallys.sk;"0911 131 6820908 601 019 | 0911 131 682";Ubytovanie
"Kadaš František, Ing.";info@dreveniceholubkovia.sk;"0902 222 033";Ubytovanie
"SPORT RESORT SLOVENKA s.r.o.";chata@chataslovenka.sk;"048 4187 7710918 101 934 | 048 4187 771";Ubytovanie
"ERIPAL s.r.o.";tatralandiachatky@gmail.com;"0905 392 652";Ubytovanie
"Vozárová Zuzana";vozar.milan@601.imafex.sk;"0903 801 2880903 116 517 | 0903 801 288";Ubytovanie
"Grnáč Peter";travelwander.sk@gmail.com;;Ubytovanie
"Chalety Olešná, s.r.o.";info@chaletyolesna.sk;"0918 803 4430940 641 414 | 0918 803 443";Ubytovanie
"MiKOMPLETDOM - Miloš Racko";info@rancnasamote.sk;"0948 894 899";Ubytovanie
"The Krivan Estate, s.r.o.";booking@usadlostpodkrivanom.sk;"0948 375 373";Ubytovanie
"Žák František";chatahabovka@gmail.com;"0907 797 653";Ubytovanie
"Grech Marián";marian319@post.sk;"0904 974 193";Ubytovanie
"Agri, s.r.o.";ladobor@azet.sk;"0905 678 808";Ubytovanie
"Lesy mesta Spišská Nová Ves s.r.o.";huta@lesysnv.sk;;Ubytovanie
"Ferex - Ferdinand Devečka";chatyliptov@chatyliptov.sk;"0903 502 8500903 814 241 | 0903 502 850";Ubytovanie
"Tatra Capital, s. r. o.";info@tatrytip.sk;"0908 959 5950918 693 905 | 0908 959 595";Ubytovanie
"Hanicová Monika";info@chatabartek.sk;"0907 452 354";Ubytovanie
"GREINER, s. r. o.";info@greiner.sk;"0948 203 261";Ubytovanie
"Villa Silvia, s.r.o.";recepcia@villasilvia.sk;"0903 545 830";Ubytovanie
"GADER, s.r.o.";gader@gaderskadolina.sk;"043 4948 194";Ubytovanie
"Reals s.r.o.";info@chatakosutka.sk;"0903 340 132";Ubytovanie
"Furgaľák Peter";aquaduo@citycom.sk;"0903 836 724";Ubytovanie
"Baníková Gabriela";gabriela@gabriela.sk;"0903 218 484052 4484 556 | 0903 218 484";Ubytovanie
"Murínová Daniela";chata.akord@gmail.com;"0908 227 9020903 827 902 | 0908 227 902";Ubytovanie
"JULA - Judita Tomašková";judka.tomaskova@gmail.com;"0903 648 347";Ubytovanie
"Gaššová Jana";rezervacie@chaluparaj.sk;"043 5896 308";Ubytovanie
"BEZE trading s.r.o.";info@beze.sk;"0908 803 481";Ubytovanie
"Klak, s.r.o.";info@klakpd.sk;"0907 438 811";Ubytovanie
"DALIAN SK, s.r.o.";recepcia@rysyhotel.sk;"0910 533 935";Ubytovanie
"PSP Morava, s.r.o.";recepcia@hotel-morava.sk;"052 4467 641";Ubytovanie
"Krpáčovo, s.r.o.";info@hotelhydro.sk;"0903 566 6530907 848 793 | 0903 566 653 | 048 6170 051";Ubytovanie
"ARMA, s.r.o.";info@sachticka.sk;"0905 404 049";Ubytovanie
"HOTEL CROCUS ŠTRBSKÉ PLESO, a.s.";recepcia@hotel-crocus.eu;"0940 646 464";Ubytovanie
"AB Tour, s.r.o.";sasanka@sasanka.sk;"052 4467 361";Ubytovanie
"Smart Business Group, s. r. o.";recepcia@hotelsmokovec.eu;"052 2601 047";Ubytovanie
"Bocy, s.r.o.";hotel@bocy.sk;"041 4382 337";Ubytovanie
"Hájenka, spol. s r.o.";info@hajenkahotel.sk;"041 4364 1610902 113 119 | 041 4364 161";Ubytovanie
"HOTEL VRŠATEC, spol. s r.o.";info@hotelvrsatec.sk;"042 4464 303";Ubytovanie
"Pech-Tour Slovakia, s.r.o.";info@horskyhotel-eva.sk;"02 4497 0507";Ubytovanie
"AG Lima Pegas, s.r.o.";rutrlova@hotelpalacetivoli.eu;"0907 709 894";Ubytovanie
"MXM, spol. s r.o.";info@hoteljavorna.sk;"0905 901 010051 4891 200 | 0905 901 010";Ubytovanie
"Grand hotel Permon, s.r.o.";hotelpermon@hotelpermon.sk;"052 4710 1110914 330 033 | 052 4710 111";Ubytovanie
"Hotel Podjavorník s.r.o.";recepcia@hotelpodjavornik.sk;"042 4393 0150911 660 551 | 042 4393 015";Ubytovanie
"Avalanche, spol. s r.o.";info@hotelavalanche.sk;"052 778 1 7720944 059 639 | 052 778 1 772";Ubytovanie
"Adams - Hotel Šomka, s.r.o.";recepcia@hotelsomka.sk;"051 4892 330 | 051 4892 332";Ubytovanie
"Kontakt M, s.r.o.";recepcia@hotelkontakt.sk;"052 4468 185 | 052 4468 184";Ubytovanie
"Smokovec, a.s.";recepcia@hotelsmokovec.sk;"052 4425 191 | 052 4425 194";Ubytovanie
"Tatracamp, s.r.o.";hoteltatranec@hoteltatranec.com;"052 4467 092";Ubytovanie
"ČERTOVICA RESORT, s. r. o.";info@chatapodcertovicou.com;"0911 306 951";Ubytovanie
"Mikulášska chata, s.r.o.";recepcia@mikulasskachata.sk;"0918 371 7020907 724 382 | 0918 371 702";Ubytovanie
"TATRA HOTEL SLOVAKIA, a.s.";recepcia@hotelpatria.sk;"052 7848 999";Ubytovanie
"SCP - PSS, s.r.o.";hotelmalina@orangemail.sk;"0911 720 598044 4319 999 | 0911 720 598";Ubytovanie
"Doména, s.r.o.";recepcia@atriumhotel.sk;"052 4422 342 | +421 52 442 23 04";Ubytovanie
"SAP - Ján Alexa";info@studnicky.sk;"0915 656 037";Ubytovanie
"BHP Tatry, s. r. o.";reservations.hightatras@kempinski.com;"052 3262 222";Ubytovanie
"BB Expo, spol. s r.o.";bbexpo@bbexpo.sk;"048 4152 691 | +421 48 4154 492 | +421 48 4125 945 | 048 4124 205";Ubytovanie
"Sabadšáková Jarmila";hotelagro@zoznam.sk;"052 4561 5130905 309 954 | 052 4561 513";Ubytovanie
"M&R Magura s.r.o.";recepcia@magurahotel.sk;"052 4780 511";Ubytovanie
"Vega plus s.r.o.";recepcia@hotel-encian.sk;"048 4199 7120903 297 111 | 048 4199 712";Ubytovanie
"MARCG s.r.o.";hotelrubinsk@gmail.com;"0907 156 155054 7524 210 | 0907 156 155";Ubytovanie
"Thorin, a.s.";vengrinova@thorin.sk;"02 6436 9000 | +421 2 644 62 957";Ubytovanie
"PM a Kompany, spol. s r.o.";recepcia@hotel-lipa.sk;"041 4335 090041 4335 091 | 041 4335 090";Ubytovanie
"Golden royal group, s.r.o.";hotel@goldenroyal.sk;"055 7201 011";Ubytovanie
"FLOREN, a.s.";hotel@golfer.sk;"045 6743 767";Ubytovanie
"HI Kongres Hotel Trnava s.r.o.";info@holidayinn-trnava.sk;"033 3250 100";Ubytovanie
"DOUBLE RED STORES s. r. o.";info@doubleredcars.eu;;Ubytovanie
"HOTEL Zvonárska s. r. o.";reception@chrysso.sk;"055 6998 237";Ubytovanie
"Kaštieľ Gbeľany, s.r.o.";gastro@chateaugbelany.com;"0904 420 0170911 420 051 | 0904 420 017";Ubytovanie
"Q - Pack, spol. s r.o.";hotelkorzo@gmail.com;"056 6783 979";Ubytovanie
"LG TRADE, s.r.o.";info@svatojanskykastiel.sk;"044 5219 293";Ubytovanie
"Dastan s.r.o.";recepcia@dastan.sk;"0902 895 401";Ubytovanie
"JAKOMAT, spol. s r.o.";recepcia@hotelclavis.sk;"047 4303 838";Ubytovanie
"ELLITE s.r.o.";recepcia@elitehotel.sk;"0911 327 649";Ubytovanie
"SENETUS, s.r.o.";rec@hotelmarrols.sk;"02 5778 4600 | 02 5778 4601";Ubytovanie
"Hotel Vrchovina, s.r.o.";;"052 4283 591";Ubytovanie
"Victoria Group, s.r.o.";recepcia@hotelvictoria.sk;"043 4304 8360911 406 407 | 043 4304 836";Ubytovanie
"Golden Eagle Levice a. s.";goldeneagle@goldeneagle.sk;"036 6304 340 | 036 6304 341";Ubytovanie
"KRIVÁŇ - služby cestovného ruchu, s.r.o.";booking@hotel-krivan.com;"041 4215 385";Ubytovanie
"ERB Hotel, s. r. o.";recepcia@hotelerb.sk;"045 6789 555";Ubytovanie
"Meško Dezider";info@penzionkorytnacka.sk;"043 5522 901";Ubytovanie
"Vin. Tech, s.r.o.";hotel@vinarskydom.sk;"033 6400 9330903 476 013 | 033 6400 933";Ubytovanie
"MEBA, spol. s r.o.";hotel@hotelprim.sk;"02 4425 3124";Ubytovanie
"Hotel Galanta, s.r.o.";hotelgalanta@hotelgalanta.sk;"0904 555 105";Ubytovanie
"KASKADA Hotel and Catering - Ľubomír Pavlík";kaskadamatejovce@gmail.com;"052 4684 0030907 832 643 | 052 4684 003";Ubytovanie
"Hotel Eden, spol. s r.o.";recepcia@hoteleden.sk;"0948 512 032";Ubytovanie
"VLM Mihalik, s.r.o.";recepcia@hotelkastiel.com;"038 7629 000";Ubytovanie
"HGM s.r.o.";grandmatej@grandmatej.sk;"045 6921 213 | 045/6921 294";Ubytovanie
"Panoráma Šport Hotel, a.s.";info@holidayinn-zilina.sk;"041 5050 100";Ubytovanie
"Hotel Gloria Palac, s.r.o.";hotel@gloriapalac.sk;"055 6257 327";Ubytovanie
"EH Servis, s.r.o.";marketing@hotelnostalgia.sk;"02 4319 3064";Ubytovanie
"A Premium Services, s.r.o.";hotel@hotel-premium.sk;"02 4949 1055";Ubytovanie
"Golden Key Services, s.r.o.";recepcia@zlatyklucik.sk;"0905 621 445";Ubytovanie
"Arkádia Slovakia, a.s.";recepcia@arkadia.sk;"038 7607 777 | 038 7607 780";Ubytovanie
"COSMOS TRADING s.r.o.";reception@hotelpelikan.sk;;Ubytovanie
"Daira, s.r.o.";hoteldalia@hoteldalia.sk;"055 7994 321";Ubytovanie
"Regent and Co., spol. s r.o.";recepcia@hoteldominika.sk;"0904 744 020";Ubytovanie
"Renobyt, s.r.o.";reception@skaritz.com;"02 5920 9770 | +421 2 592 097 10";Ubytovanie
"HOTEL VILIAM FRAŇO s.r.o.";info@hotelfrano.sk;"0905 438 438037 2400 020 | 0905 438 438";Ubytovanie
"ARTIN, spol. s r.o.";hotelartin@hotelartin.sk;"054 4723 0500905 618 118 | 054 4723 050";Ubytovanie
"MT Investment, spol. s r.o.";hotelesprit@hotelesprit.sk;"0902 500 30002 6345 3217 | 0902 500 300";Ubytovanie
"Hotel Detva, s.r.o.";recepcia@hoteldetva.sk;"045 5456 480";Ubytovanie
"Hotel sv. Michal, s.r.o.";info@hotelsvmichal.sk;"034 6960 111 | 034 6960 108";Ubytovanie
"Pronut s. r. o.";recepcia@hoteltaxis.sk;"02 2079 3242";Ubytovanie
"iconiX SE";hotel@steve.sk;"0908 930 8880918 243 5050907 812 327 | 0908 930 888";Ubytovanie
"Hotel Most Slávy, s.r.o.";recepcia@hotelmostslavy.sk;"032 6513 611 | 032 6552 229";Ubytovanie
"Samtreid, s.r.o.";samtreid@gmx.net;"057 4490 1050903 564 930 | 057 4490 105";Ubytovanie
"Kanvod Sk, s.r.o.";recepcia@hotel-eminenet.sk;"02 6010 34100915 884 415 | 02 6010 3410";Ubytovanie
"Aston Esquire, s.r.o.";hotelaston@hotelaston.sk;"02 5363 20380915 955 944 | 02 5363 2038";Ubytovanie
"Németh Zuzana";zuzana.nemeth@centrum.sk;"0917 497 497";Ubytovanie
"HOTEL ZOBOR s.r.o.";hotelzobor@hotelzobor.sk;"037 6525 381";Ubytovanie
"HOTEL MAGURA, spol. s r.o.";hotelmagura@gmail.com;"046 5192 300 | 046 5192 301";Ubytovanie
"ST.FLORIAN ŠTÚROVO, s.r.o.";recepcia@stflorian.sk;"0908 796 202";Ubytovanie
"Hotel Jeleň Pezinok s.r.o.";hoteljelenpezinok@gmail.com;"0917 635 8410908 491 537 | 0917 635 841";Ubytovanie
"EUROCOM & Co, s.r.o.";info@parkpalace.sk;"042 4459 6000917 998 877 | 042 4459 600";Ubytovanie
"Besso - Jozef Borovič";atrium@hotelatrium.sk;"036 7512 507";Ubytovanie
"Hotel Lipa Slovakia s.r.o.";info@hotellipa.eu;"032 7763 870 | 032 7763 060";Ubytovanie
"Hotel Zelený dvor, s.r.o.";info@hotelzelenydvor.sk;"02 2020 1010 | 02 2020 1011";Ubytovanie
"PHP Trade s.r.o.";recepcia@palacehotelpolom.sk;"041 5048 888";Ubytovanie
"Športhotel Trnávka, spol. s r.o.";recepcia@hotel21trnavka.sk;"02 4825 2000 | 02 482 52 008";Ubytovanie
"Ústav vzdelávania a služieb s.r.o.";;"02 5477 2123 | 02 5477 397102 5477 5212";Ubytovanie
"RB - Roman Borovička";hotelhokejka@gmail.com;"046 5430 534";Ubytovanie
"PREMIUM STAR s. r. o.";recepcia@hotelbranc.com;"0905 699 366";Ubytovanie
"Interhouse Košice, a.s.";recepcia@hiltonkosice.sk;"055 3251 100";Ubytovanie
"ALEXANDRA HOTEL, s. r. o.";recepcia@alexandrahotel.sk;"042 4666 000";Ubytovanie
"VÍNO MATYŠÁK, s.r.o.";vinumgaleriabozen@vinomatysak.sk;"0907 701 07002 206 34 0550907 702 070 | 0907 701 070";Ubytovanie
"ELISIS s. r. o.";recepcia@hotelspark.sk;"034 7746 203";Ubytovanie
"Arcade spol. s r.o.";hotel@arcade.sk;"0910 796 777048 4302 111 | 0910 796 777 | 048 4302 222";Ubytovanie
"Carlton Property, s.r.o.";reservation.bratislava@radissonblu.com;"02 5939 0000";Ubytovanie
"POD HRADOM, s. r. o.";recepcia@podhradie.com;"042 4340 781";Ubytovanie
"Brixgreen, s.r.o.";hotelbrix@hotelbrix.sk;"02 5479 1979";Ubytovanie
"VIALE, s.r.o.";recepcia@hotellev.sk;"036 3700 300";Ubytovanie
"Ratkovič Radovan";stardustnz@zoznam.sk;"035 6403 085";Ubytovanie
"Hotel Saffron s.r.o.";rezervacia@hotelsaffron.sk;"02 2129 9301";Ubytovanie
"Metal control, s.r.o.";info@hotelmetal.sk;"042 4442 444042 4442 017 | 042 4442 444";Ubytovanie
"Var Trading, s.r.o.";hotelsenica@hotelsenica.sk;"034 6517 236";Ubytovanie
"GRAND, s.r.o.";recepcia@hotelgrand.sk;"041 5643 266";Ubytovanie
"Chateau GRAND BARI s.r.o.";recepcia@grandbari.sk;"056 3337 955";Ubytovanie
"Správa telovýchovných zariadení";stez@stez.sk;"053 4166 332";Ubytovanie
"M3 group, s. r. o.";reception@hotelkalix.sk;"0917 876 460";Ubytovanie
"Hotel Arcadia, s. r. o.";info@arcadia-hotel.sk;"02 5949 0500 | 02 5949 0555";Ubytovanie
"SPEKTRUM - Vladimír Švejda";squashhotel@gmail.com;"0907 981 516";Ubytovanie
"Doxx Restaurant, s. r. o.";hoteldubnaskala@doxx.sk;"041 5079 100";Ubytovanie
"DIAMOND HOTELS SLOVAKIA, s.r.o.";info@cpbratislava.sk;"02 5934 811102 5934 8117 | 02 5934 8111";Ubytovanie
"Hotel Thermal Varga s.r.o.";info@hotelthermal.sk;"031 5530 336 | 031 5530 337";Ubytovanie
"Hotel Arcus, s.r.o.";bratislava@hotelarcus.sk;"02 5557 2522";Ubytovanie
"Futúrum, spoločnosť s ručením obmedzeným Michalovce";hotel@jalta.sk;"056 6426 086";Ubytovanie
"MALES, s.r.o.";recepcia@hotel-diana.sk;"032 7712 0710944 736 001 | 032 7712 071";Ubytovanie
"Hotel Flóra, a.s.";recepcia@hotelflora.sk;"032 6554 555";Ubytovanie
"Frick, s. r. o.";info@hotelrohac.sk;"043 5324 9610905 615 697 | 043 5324 961";Ubytovanie
"FLAVIA ART, s. r. o.";servis@lpg-flavia.sk;"0915 336 420";Ubytovanie
"STH - Stavohotely, a.s.";kopcianska@ubytovne.sk;"02 6382 6443";Ubytovanie
"Hotel Turiec, a.s.";hotelturiec@hotelturiec.sk;"043 4012 077";Ubytovanie
"HOTEL DEVÍN, a.s.";reservations@hoteldevin.sk;"02 5998 5856";Ubytovanie
"B&S s.r.o.";info@hotelmladost.sk;"051 4892 990";Ubytovanie
"Novitech Partner s.r.o.";recepcia@teledom.sk;"055 3274 401055 3274 405 | 055 3274 401";Ubytovanie
"HI Kongres Hotel Žilina s.r.o.";info@holidayinn-zilina.sk;"041 5050 100";Ubytovanie
"Hotel Nitra, s.r.o.";recepcia@hotelnitra.sk;"037 6316 954";Ubytovanie
"Welcome, spol. s r.o.";recepcia@tatrahotel.com;;Ubytovanie
"NUS, s.r.o.";recepcia@hotelgrandnz.sk;"035 6404 424";Ubytovanie
"ABC HOTEL s.r.o.";recepcia@abchotel.sk;"037 6580 6580948 949 000 | 037 6580 658";Ubytovanie
"North Reality, s.r.o.";info@hotelarli.sk;"034 6511 351";Ubytovanie
"Partners Slovakia s.r.o.";apartmentresidence@chello.sk;"02 5273 1206";Ubytovanie
"Slovimex - Trading, s.r.o.";recepcia@hotelslovan-za.sk;"041 5620 1340903 525 825 | 041 5620 134 | +421 41 562 14 30";Ubytovanie
"Sorea, spol. s r.o.";marketing@sorea.sk;"02 5023 9198";Ubytovanie
"BUILDINGS CITY, s.r.o.";info@hotelrocakosice.sk;"0917 120 120055 6854 127 | 0917 120 120 | 055 6854 007";Ubytovanie
"Villa Bianca - Jozef Šišila";villabianca@villabianca.sk;"0905 661 874";Ubytovanie
"HOTEL REMY s.r.o.";info@remy.sk;"02 4445 5063";Ubytovanie
"Hotel Centrál Zibak Company - Ing. Wail Zibak";rezervacia@hotelcentral.sk;"031 7704 4010907 524 833 | 031 7704 401";Ubytovanie
"City-Arena Hotel a.s.";hotel@hotelarena.sk;"0905 383 398033 5908 222 | 0905 383 398";Ubytovanie
"Refimo, s.r.o.";flora@besenovaflora.sk;"044 4303 134";Ubytovanie
"Hotel Národný dom, s.r.o.";hotelnarodnydom@hotelnarodnydom.sk;"048 4123 737";Ubytovanie
"T and B, s.r.o.";recepcia@hotelpatriot.sk;"057 4423 427";Ubytovanie
"MARGIT, spol. s r.o.";recepcia@margit.sk;"032 6551 028";Ubytovanie
"ALBRECHT, a.s.";info@hotelalbrecht.sk;"02 6720 0091";Ubytovanie
"Eminent, spol. s r.o.";hotel@eminent.sk;"037 6403 150";Ubytovanie
"Dream, spol. s r.o.";info@banderium.sk;"035 7730 156 | +421 35 773 37 75 | +421 35 77 33 776";Ubytovanie
"Hotel Patrik, s.r.o.";hotelcomfort@hotelcomfort.sk;"037 6525 230";Ubytovanie
"Amer, s.r.o.";info@slamenabuda.sk;"02 5920 2090 | 02 5477 1608";Ubytovanie
"W Hotel, s.r.o.";recepcia@whotel.sk;"02 6476 1721";Ubytovanie
"City Hotel Bratislava s.r.o.";hotelbratislava@hotelbratislava.sk;"02 2060 6100 | 02 2060 6120";Ubytovanie
"HOTEL SET s.r.o.";recepcia@hotelset.sk;"02 4910 9600";Ubytovanie
"Márton & Márton s.r.o.";office@hoteltevel.sk;"031 7732 300";Ubytovanie
"Hotel San, družstvo";info@hotel-san.sk;"034 6683 387";Ubytovanie
"Gurmen, s.r.o.";hotelfamilia@hotelfamilia.sk;"052 4180 511";Ubytovanie
"EZEX s.r.o.";ambassador@ambassador.sk;"055 7203 720 | 055 7203 727";Ubytovanie
"VYŠEHRAD s.r.o.";info@hotelvysehrad.sk;"0903 421 140";Ubytovanie
"HIMEX PLUS s. r. o.";recepcia@hotelbaronka.sk;"0905 313 22402 4488 2089 | 0905 313 224";Ubytovanie
"Dom techniky ZSVTS KE, s.r.o.";info@hotel-centrum.sk;"055 6220 350 | 055 6220 486";Ubytovanie
"Turistika, s.r.o.";hotel@turist.sk;"02 5541 0508";Ubytovanie
"HOTEL LIPA BOJNICE s.r.o.";recepcia@hotel-lipa-bojnice.sk;"046 5430 308";Ubytovanie
"Star, spol. s r.o.";marketing@hotelstefanik.sk;"0918 878 878";Ubytovanie
"DOPRASTAV SERVICES, s. r. o.";rezervacie@doprastavservices.sk;"0907 801 965";Ubytovanie
"ESPA LINE, spol. s r.o.";recepcia@hotelmaj.sk;"033 7741 202 | 033 774 22 33";Ubytovanie
"MAXPLAZA s.r.o.";maxplaza@maxplaza.sk;"0948 709 710";Ubytovanie
"Xfusion, s.r.o.";reception@bojvin.sk;"0918 466 332";Ubytovanie
"Promenáda, a.s.";info@hotel-yasmin.sk;"055 7951 100 | 055 7951 222";Ubytovanie
"Pam - Invest, a.s.";reception@hotelcolor.sk;"02 4910 1255 | 02 4910 1265";Ubytovanie
"Relax Inn West, a.s.";hotel@relaxinn.sk;"0911 229 604";Ubytovanie
"ProViva, s. r. o.";info@hotelgalileo.sk;"041 7001 014";Ubytovanie
"Bowling club BNC";hotel@bnc-sk.sk;"02 4911 5111";Ubytovanie
"LOKOMOTÍVA a.s. Košice";vladimir.hric@lokomotiva.sk;"055 6332 280";Ubytovanie
"TUXXER s.r.o.";recepcia@cityhotelbb.sk;"0918 570 507";Ubytovanie
"Mecom, spol. s r.o.";info@hotelbristol.sk;"055 7290 077";Ubytovanie
"Hotel Dukla, a.s.";recepcia@hotelduklapresov.sk;"051 7722 7410918 902 153 | 051 7722 741 | 051 7732 134";Ubytovanie
"GARNI HOTEL DOCK s. r. o.";recepcia@hoteldock.sk;"0910 501 003";Ubytovanie
"Grand - Hotel Trenčín, s.r.o.";info@grand-hotel.sk;"032 7434 353";Ubytovanie
"HOTEL SLOVAN SERVIS s.r.o.";recepcia@hotelslovanlc.sk;"047 4111 716";Ubytovanie
"KRISER - Matej Valíček";hotel@hotelkriser.com;"033 6411 383";Ubytovanie
"InterSporthotel, spol. s r.o.";recepcia@parkhotel.sk;"0908 759 511";Ubytovanie
"Q100, s.r.o.";recepcia@impiq.sk;"033 5555 555";Ubytovanie
"Valach - Franko, spol. s r.o.";recepcia@frankohotel.sk;"0908 801 880 | +421 45 5242 916";Ubytovanie
"Torysa Plus, s.r.o.";ht@hoteltorysa.com;"051 7566 111";Ubytovanie
"Carpe diem, s.r.o.";recepcia@hotelcarpediem.sk;"051 7700 444";Ubytovanie
"Hotel sv. Ludmila, a.s.";info@hotelsvataludmila.sk;"034 6977 7770910 856 102 | 034 6977 777";Ubytovanie
"NH HOTEL GROUP, S.A.";nhgateone@nh-hotels.com;"02 3277 0110";Ubytovanie
"G - 5 COMPANY, s.r.o.";atrium@hotel-malacky.sk;"034 7723 161";Ubytovanie
"KENNY, s.r.o.";laputikacafe@gmail.com;"0911 610 74202 5443 0258 | 0911 610 742";Ubytovanie
"ProZeta s.r.o.";maranello@maranello-ristorante.sk;"02 4524 10060911 504 040 | 02 4524 1006";Ubytovanie
"Hotel Start Jičín, s.r.o.";recepce@hotelrestart.cz;"+420 498 019 400";Ubytovanie
"AZUL s.r.o.";recepcia@azul.sk;"038 7627 020";Ubytovanie
"Kamila, a.s.";info@hotelagatka.sk;"02 4594 3611 | 02 4594 3631";Ubytovanie
"Hotel P7, s.r.o.";p7@p7.sk;"047 4321 255";Ubytovanie
"Harmónia, spol. s r.o.";hotelharmonia@zoznam.sk;"0911 187 870 | 00590142";Ubytovanie
"Dunajská brána, s.r.o.";hotel@danubiagate.sk;"02 2066 5500";Ubytovanie
"I V K s.r.o.";info@urpincity.sk;"048 4723 5110915 968 936 | 048 4723 511";Ubytovanie
"EU Gastrocom s.r.o.";eugastrocom@zoznam.sk;"031 7805 456";Ubytovanie
"MEDMAX s. r. o.";recepcia@hotelmagnus.sk;"032 7484 900";Ubytovanie
"Zibak Company Ltd., s.r.o.";rezervacia@hotelcentral.sk;"031 7704 401 | +421 31 702 03 45";Ubytovanie
"Hotel Kormorán Slovakia, s.r.o.";info@hotelkormoran.sk;"031 5909 100";Ubytovanie
"Profit real Žilina, s.r.o.";recepcia@hotelborik.sk;"0911 214 417 | +421 41 723 52 28 | +421 41 723 25 09";Ubytovanie
"Commercial s.r.o.";hotel@hotelphoenix.sk;"033 5354 5000917 888 903 | 033 5354 500";Ubytovanie
"Falkensteiner Hotel Bratislava, s.r.o.";reservations.bratislava@falkensteiner.com;"02 5923 6721";Ubytovanie
"HOTEL BLUE s. r. o.";recepcia@hotelblue.sk;"02 4949 22220907 971 016 | 02 4949 2222 | 02 4949 2555";Ubytovanie
"Poldrasco, s.r.o.";cityhotel@cityhotel.sk;"033 5511 220";Ubytovanie
"Ferrorobot s.r.o.";hotel@ferum.sk;"055 6841 342";Ubytovanie
"Albrecht Services, s.r.o.";info@hotelalbrecht.sk;"02 6720 0091";Ubytovanie
"Sheyly's, s.r.o.";sheylys@sheylys.sk;"0905 360 036";Ubytovanie
"VIKTOR s. r. o.";recepcia@hotelviktor.sk;"0905 777 88802 6345 2084 | 0905 777 888";Ubytovanie
"Klar, s.r.o.";recepcia@klar.sk;"044 5522 911 | 1741/117";Ubytovanie
"BOSS HOTEL, s.r.o.";info@hotel-boss.eu;"041 5000 915";Ubytovanie
"Billová Jana";hotelcentrum@hotelcentrum.sk;"037 655 4397037 6554 398 | 037 655 4397";Ubytovanie
"FSC, s.r.o.";recepcia@hotelluna.sk;"045 6734 4700949 177 686 | 045 6734 470";Ubytovanie
"MARATÓN s.r.o.";recepcia@hotelmaraton.sk;"055 7204 1410911 602 093 | 055 7204 141";Ubytovanie
"SYNOT GASTRO SLOVAKIA, s.r.o.";recepcia@hotelelizabeth.sk;"032 6506 111";Ubytovanie
"Pyramída PP, s.r.o.";hotel@barbakan-trnava.sk;"033 5511 847";Ubytovanie
"Janka a Juraj Gantner, spol. s r.o.";hotelclub@sinet.sk;"052 4524 051";Ubytovanie
"Mofina spol. s r.o.";recepcia@hotelmajolika.sk;"033 6908 500";Ubytovanie
"TATRA UNITED CORPORATION, a. s.";marketing@hoteltatra.sk;"0948 840 44102 5927 2111033 3243 122033 2420 020 | 0948 840 441";Ubytovanie
"FORESPO PÁLENICA a. s.";recepcia@astrumlaus.sk;"036 3963 1110917 623 840 | 036 3963 111";Ubytovanie
"Satel - Slovakia, s.r.o.";poprad@hotelsatel.com;"052 7721 1210918 898 720 | 052 7721 121";Ubytovanie
"Anassa, s.r.o.";hotelavance@hotelavance.sk;"02 5920 840002 5920 840102 5920 8402 | 02 5920 8400 | 02 5920 8403";Ubytovanie
"PALACE HOTEL PEZINOK, s.r.o.";hotel@zamokpezinok.sk;"033 7989 001";Ubytovanie
"MAC - GASTRO spol. s r.o.";hotel@apollohotel.sk;"02 5596 892202 5596 8933 | 02 5596 8922";Ubytovanie
"LAS PALMAS CATERING s.r.o.";laspalmas.restauracia@gmail.com;"0944 610 3430907 723 339 | 0944 610 343";Ubytovanie
"G.L. Hotely, a.s.";polana@hotelpolana.sk;"045 5320 124";Ubytovanie
"Tulip House, a.s.";reservations@rosethotel.sk;"02 3217 1819";Ubytovanie
"Maxin, spol. s r.o.";recepcia@maxinn.sk;"02 5920 59200905 120 120 | 02 5920 5920 | 02 5920 5950";Ubytovanie
"OKO Centrum, spol. s r.o.";info@oko-centrum.sk;"037 6510 3630911 212 118 | 037 6510 363";Ubytovanie
"Košice Hotel, s.r.o.";rezervacie@kosicehotel.sk;"055 2810 281";Ubytovanie
